Title,Album,Lyrics
Red (Original Demo Recording),Red (Deluxe Edition),"[Verse 1]
Loving him is like
Driving a new Maserati down a dead end street
Faster than the wind, passionate as sin, ending so suddenly
Loving him is like
Trying to change your mind once you're already flying through the freefall
Like the colors in autumn
So bright, just before they lose it all

[Chorus]
Losing him was blue like I'd never known
Missing him was dark grey, all alone
Forgetting him was like trying to know somebody you've never met
But loving him was red
Loving him was red

[Verse 2]
Touching him was like
Realizing all you ever wanted was right there in front of you
Memorizing him was as
Easy as knowing all the words to your old favorite song
Fighting with him was like
Trying to solve a crossword and realizing there's no right answer
Regretting him was like
Wishing you never found out that love could be that strong

[Chorus]
Losing him was blue like I'd never known
Missing him was dark grey, all alone
Forgetting him was like trying to know somebody you've never met
But loving him was red
Oh, red
Burning red

[Bridge]
Remembering him comes in flashbacks and echoes
Tell myself it's time now, gotta let go
But moving on from him is impossible
When I still see it all in my head
In burning red
Burning, it was red

[Chorus]
Losing him was blue like I'd never known
Missing him was dark grey, all alone
Forgetting him was like trying to know somebody you never met
'Cause loving him was red
Yeah, yeah, red
We're burning red

[Breakdown]
And that's why he's spinning 'round in my head
Burning red, burning red

[Outro]
His love was like
Driving a new Maserati down a dead end street"
Sad Beautiful Tragic,Red (Deluxe Edition),"[Verse 1]
Long handwritten note, deep in your pocket
Words, how little they mean, when you're a little too late
I stood right by the tracks, your face in a locket
Good girls, hopeful they'll be and long they will wait

[Chorus]
We had a beautiful magic love affair
What a sad, beautiful, tragic love affair

[Verse 2]
In dreams, I meet you in warm conversation
We both wake in lonely beds, different cities
And time is taking its sweet time erasing you
And you've got your demons
And darling, they all look like me

[Chorus]
'Cause we had a beautiful magic love there
What a sad, beautiful, tragic love affair

[Bridge]
Distance, timing, breakdown, fighting
Silence, the train runs off its tracks
Kiss me, try to fix it, could you just try to listen?
Hang up, give up, and for the life of us we can't get back

[Chorus]
A beautiful magic love there
What a sad, beautiful, tragic, beautiful, tragic, beautiful
What we had, a beautiful magic love there
What a sad, beautiful, tragic, love affair
We had a beautiful magic love there
What a sad, beautiful, tragic love affair"
Starlight,Red (Deluxe Edition),"[Chorus]
I said, ""Oh, my, what a marvelous tune""
It was the best night, never would forget how we moved
The whole place was dressed to the nines
And we were dancing, dancing
Like we're made of starlight
Like we're made of starlight

[Verse 1]
I met Bobby on the boardwalk, summer of '45
Picked me up, late one night at the window
We were 17 and crazy, running wild, wild
Can't remember what song it was playing when we walked in
The night we snuck into a yacht club party
Pretending to be a duchess and a prince

[Chorus]
And I said, ""Oh, my, what a marvelous tune""
It was the best night, never would forget how we moved
The whole place was dressed to the nines
And we were dancing, dancing
Like we're made of starlight, starlight
Like we're made of starlight, starlight

[Verse 2]
He said, ""Look at you
Worrying so much about things you can't change
You'll spend your whole life singing the blues
If you keep thinking that way""
He was trying to skip rocks on the ocean, saying to me
""Don't you see the starlight, starlight?
Don't you dream impossible things?""

[Chorus]
Like, ""Oh, my, what a marvelous tune""
It was the best night, never would forget how we moved
The whole place was dressed to the nines
And we were dancing, dancing
Like we're made of starlight, starlight
Like we're made of starlight, starlight

[Bridge]
Ooh, ooh, he's talking crazy
Ooh, ooh, dancing with me
Ooh, ooh, we could get married
Have ten kids and teach 'em how to dream

[Guitar Solo]

[Chorus]
Oh, my, what a marvelous tune
It was the best night, never would forget how we moved
The whole place was dressed to the nines
And we were dancing, dancing
Like we're made of starlight, starlight
Like we're made of starlight, starlight

[Breakdown]
Like we're made of starlight, starlight
Like we dream impossible dreams
Like starlight, starlight
Like we dream impossible dreams

[Outro]
Don't you see the starlight, starlight?
Don't you dream impossible things?"
State of Grace,Red (Deluxe Edition),"[Verse 1]
I'm walking fast through the traffic lights
Busy streets and busy lives
And all we know, is touch and go
We are alone with our changing minds
We fall in love 'til it hurts or bleeds, or fades in time

[Chorus]
And I never saw you coming
And I'll never be the same

[Verse 2]
You come around and the armor falls
Pierce the room like a cannon ball
Now all we know, is don't let go
We are alone, just you and me
Up in your room and our slates are clean
Just twin fire signs, four blue eyes

[Pre-Chorus]
So you were never a saint
And I've loved in shades of wrong
We learn to live with the pain
Mosaic broken hearts
But this love is brave and wild

[Chorus]
And I never (Never) saw you coming
And I'll never (Never) be the same

[Bridge]
This is a state of grace
This is the worthwhile fight
Love is a ruthless game
Unless you play it good and right
These are the hands of fate
You're my Achilles heel
This is the golden age of something good
And right and real

[Breakdown]
And I never (never) saw you coming
And I'll never (never) be the same

[Chorus]
And I never (Never) saw you coming
And I'll never
(So you were never a saint
And I've loved in shades of wrong)
Be the same
(We learn to live with the pain
Mosaic broken hearts
But this love is brave and wild)

[Outro]
This is a state of grace
This is the worthwhile fight
Love is a ruthless game
Unless you play it good and right"
State of Grace (Acoustic Version),Red (Deluxe Edition),"[Verse 1]
I'm walking fast through the traffic lights
Busy streets and busy lives
And all we know is touch and go
We are alone with our changing minds
We fall in love till it hurts or bleeds, or fades in time

[Chorus]
And I never saw you coming
And I'll never be the same

[Verse 2]
You come around and the armor falls
Pierce the room like a cannon ball
Now all we know, is don't let go
We are alone just you and me
Up in your room and our slates are clean
Just twin fire signs, four blue eyes

[Pre-Chorus]
So you were never a saint
And I've loved in shades of wrong
We learn to live with the pain
Mosaic broken hearts
But this love is brave and wild

[Chorus]
And I never saw you coming
And I'll never be the same

[Bridge]
This is a state of grace
This is the worthwhile fight
Love is a ruthless game
Unless you play it good and right
These are the hands of fate
You're my Achilles heel
This is the golden age of something good
And right and real

[Chorus]
And I never saw you coming
And I'll never be the same
And I never saw you coming
And I'll never be the same

[Outro]
This is a state of grace
This is a worthwhile fight
Love is a ruthless game
Unless you play it good and right"
Stay Stay Stay,Red (Deluxe Edition),"[Verse 1]
I'm pretty sure we almost broke up last night
I threw my phone across the room, at you
I was expecting some dramatic turn away
But you stayed
This morning, I said we should talk about it
'Cause I read you should never leave a fight unresolved
That's when you came in wearing a football helmet
And said, ""Okay, let's talk""
And I said

[Chorus]
Stay, stay, stay
I've been loving you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay

[Verse 2]
Before you, I'd only dated self-indulgent takers
Who took all of their problems out on me
But you carry my groceries and now I'm always laughing
And I love you because you have given me
No choice but to

[Chorus]
Stay, stay, stay
I've been loving you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay, stay, stay, stay

[Bridge]
You took the time to memorize me
My fears, my hopes, and dreams
I just like hanging out with you, all the time
All those times that you didn't leave, it's been occurring to me
I'd like to hang out with you, for my whole life

[Breakdown]
Stay, and I'll be loving you for quite some time
No one else is gonna love me when I get mad, mad, mad
So I think that it's best if we both stay, stay
Stay, stay, stay, stay!

[Chorus]
Stay, stay, stay
I've been loving you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay, stay
Stay, stay, stay, stay!

[Outro]
Stay, stay, stay
I've been loving you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay
(Ha-ha-ha, it's so fun)"
The Last Time,Red (Deluxe Edition),"[Verse 1: Gary Lightbody]
Find myself at your door
Just like all those times before
I'm not sure how I got there
All roads they lead me here
I imagine you are home
In your room, all alone
And you open your eyes into mine
And everything feels better

[Pre-Chorus: Taylor Swift & Gary Lightbody]
And right before your eyes
I'm breaking, no past
No reasons why
Just you and me

[Chorus: Taylor Swift & Gary Lightbody]
This is the last time I'm asking you this
Put my name at the top of your list
This is the last time I'm asking you why
You break my heart in the blink of an eye (Eye, eye)

[Verse 2: Taylor Swift]
You find yourself at my door
Just like all those times before
You wear your best apology
But I was there to watch you leave
And all the times I let you in
Just for you to go again
Disappear when you come back
Everything is better

[Pre-Chorus: Taylor Swift & Gary Lightbody]
And right before your eyes
I'm aching, run fast
Nowhere to hide
Just you and me

[Chorus: Taylor Swift & Gary Lightbody]
This is the last time I'm asking you this
Put my name at the top of your list
This is the last time I'm asking you why
You break my heart in the blink of an eye (Eye, eye)

[Guitar Solo]

[Bridge: Taylor Swift and Gary Lightbody]
This is the last time you tell me I've got it wrong
This is the last time I say it's been you all along
This is the last time I let you in my door
This is the last time, I won't hurt you anymore
Oh-ho, oh-ho, oh-ho, oh-ho
Oh-ho, oh-ho, oh-ho, oh-ho

[Chorus: Taylor Swift & Gary Lightbody]
This is the last time I'm asking you this
Put my name at the top of your list
This is the last time I'm asking you why
You break my heart in the blink of an eye

[Outro: Taylor Swift, Gary Lightbody, Both]
This is the last time I'm asking you this
(This is the last time I'm asking you this)
Put my name at the top of your list
(Put my name at the top of your list)
This is the last time I'm asking you why
(This is the last time I'm asking you why)
You break my heart in the blink of an eye
(You break my heart)
This is the last time I'm asking you, last time I'm asking you
Last time I'm asking you this
This is the last time I'm asking you, last time I'm asking you
Last time I'm asking you this
This is the last time I'm asking you, last time I'm asking you
Last time I'm asking you this
This is the last time I'm asking you, last time I'm asking you
Last time I'm asking you this"
The Lucky One,Red (Deluxe Edition),"[Verse 1]
New to town with a made up name
In the angel's city, chasing fortune and fame
And the camera flashes make it look like a dream
You had it figured out since you were in school
Everybody loves pretty, everybody loves cool
So overnight, you look like a sixties queen

[Pre-Chorus 1]
Another name goes up in lights
Like diamonds in the sky

[Chorus 1]
And they'll tell you now, you're the lucky one
Yeah, they'll tell you now, you're the lucky one
But can you tell me now, you're the lucky one?
Oh, oh, oh

[Verse 2]
Now, it's big black cars and Riviera views
And your lover in the foyer doesn't even know you
And your secrets end up splashed on the news front page
And they tell you that you're lucky, but you're so confused
'Cause you don't feel pretty, you just feel used
And all the young things line up to take your place

[Pre-Chorus 2]
Another name goes up in lights
You wonder if you'll make it out alive

[Chorus 1]
And they'll tell you now, you're the lucky one
Yeah, they'll tell you now, you're the lucky one
But can you tell me now, you're the lucky one?
Oh, oh, oh

[Bridge]
It was a few years later, I showed up here
And they still tell the legend of how you disappeared
How you took the money and your dignity, and got the hell out
They say you bought a bunch of land somewhere
Chose the rose garden over Madison Square
And it took some time, but I understand it now

[Pre-Chorus 3]
'Cause now my name is up in lights
But I think you got it right

[Chorus 2]
Let me tell you now, you're the lucky one
Let me tell you now, you're the lucky one
Let me tell you now, you're the lucky one, oh, oh, oh
And they'll tell you now, you're the lucky one
Yeah, they'll tell you now, you're the lucky one
And they'll tell you now, you're the lucky one, oh, oh, oh
Oh, whoa, oh, oh"
The Moment I Knew,Red (Deluxe Edition),"[Verse 1]
You should've been there
Should've burst through the door
With that ""Baby, I'm right here"" smile
And it would've felt like
A million little shining stars had just aligned
And I would've been so happy

[Verse 2]
Christmas lights glisten
I've got my eye on the door
Just waiting for you to walk in
But the time is ticking
People ask me how I've been
As I comb back through my memory
How you said you'd be here
You said you'd be here

[Chorus]
And it was like slow motion
Standing there in my party dress
In red lipstick
With no one to impress
And they're all laughing
As I'm looking around the room
But there was one thing missing
And that was the moment I knew

[Verse 3]
And the hours pass by
Now I just wanna be alone
But your close friends always seem to know
When there's something really wrong
So they follow me down the hall
And there in the bathroom
I try not to fall apart
And the sinking feeling starts
As I say hopelessly
""He said he'd be here""

[Chorus]
And it was like slow motion
Standing there in my party dress
In red lipstick
With no one to impress
And they're all laughing
And asking me about you
But there was one thing missing (missing)
And that was the moment I knew

[Bridge]
What do you say
When tears are streaming down your face
In front of everyone you know?
And what do you do
When the one who means the most to you
Is the one who didn't show?

[Breakdown]
You should've been here
And I would've been so happy

[Chorus]
And it was like slow motion
Standing there in my party dress
In red lipstick
With no one to impress
And they're all standing around me, singing
""Happy birthday to you""
But there was one thing missing
And that was the moment I knew
Oh-oh-oh-oh-oh-oh-oh, I knew
Oh-oh-oh-oh-oh-oh-oh

[Outro]
You called me later
And said, ""I'm sorry I didn't make it""
And I said, ""I'm sorry, too""
And that was the moment I knew"
Treacherous,Red (Deluxe Edition),"[Verse 1]
Put your lips close to mine
As long as they don't touch
Out of focus, eye to eye
'Til the gravity's too much
And I'll do anything you say
If you say it with your hands
And I'd be smart to walk away
But you're quicksand

[Chorus 1]
This slope is treacherous
This path is reckless
This slope is treacherous
And I-I-I like it

[Verse 2]
I can't decide if it's a choice
Getting swept away
I hear the sound of my own voice
Asking you to stay
And all we are is skin and bone
Trained to get along
Forever going with the flow
But you're friction

[Chorus 1]
This slope is treacherous
This path is reckless
This slope is treacherous
And I, I, I like it

[Bridge]
Two headlights shine through the sleepless night
And I will get you, get you alone
Your name has echoed through my mind
And I just think you should, think you should know
That nothing safe is worth the drive
And I will follow you, follow you home
Follow you, follow you home

[Chorus 2]
This hope is treacherous
This daydream is dangerous
This hope is treacherous
I-I-I, I-I-I, I-I-I

[Breakdown]
Two headlights shine through the sleepless night
And I will get you, get you alone
Your name has echoed through my mind
And I just think you should, think you should know
That nothing safe is worth the drive
And I will follow you, follow you home
Follow you, follow you home
I'll follow you, follow you home
Follow you, follow you home

[Outro]
This slope is treacherous
I-I-I like it"
